group,Ph,SO4,Totaln,Totalc,Toc,Totals,Totalh,cn,Astot,As1,As2,AsIII,AsV,Sbtot,Sb1,Sb2,SbIII,SbV,chao1,observedspecies,shannon,ace,simpson,goodscoverage,Pdwholetree
WKA,6.66,132.15,0.02,1.51,0.48,0.22,0.25,95.8,96.29,5.7,1.18,0.29,3.59,667.5,33.04,40.98,208.57,344.16,13475.08,4805,8.17,15043.25,0.98,0.91,279.86
WKA,6.31,207.24,0.01,0.79,0.29,0.18,0.15,70.3,97.45,4.92,0.96,0.01,2.11,591.32,92.37,73.31,104.44,148.47,4615.94,2161,4.23,4515.92,0.62,0.97,171.66
WKA,7.77,112.71,0.03,1.65,0.77,0.14,0.21,53.2,95.84,5.16,6.83,1.61,2.61,817.97,38.92,83.44,271.15,348.63,13688.87,4691,8.27,14909.41,0.98,0.91,305.59
WKA,8.86,139.8,0.01,0.75,0.08,0.12,0.1,64.1,119.28,5.63,0.66,0.11,2.06,543.03,22.78,37.32,160.27,217.49,4487.82,1985,5.25,4697.83,0.88,0.97,140.2
WKA,9.41,238.03,0.01,1,0.22,0.12,0.13,84,125.12,5.74,1.19,0.64,2.58,918.21,29.77,47.37,188.87,249.35,8931.16,2927,6.07,10434.66,0.93,0.94,209.64
WKA,12.4,11.8,0.01,0.82,0.18,0.11,0.17,69,108.25,5.33,0.38,0,1.88,551.98,63.88,49.87,187.25,192.21,4566.28,2009,6.72,4659.71,0.96,0.97,152.98
WKA,9.33,0,0.02,1.31,0.59,0.13,0.14,67.8,116.69,5.09,1.17,0,3.06,791.93,63.04,89.88,217.51,277.19,13071.1,4492,7.25,14660.34,0.95,0.91,261.36
WKA,9.77,168.35,0.02,0.9,0.11,0.12,0.11,51.3,109.65,5.05,0.38,0.25,3.49,882.03,94.77,104.44,352.08,436.61,6380.08,2219,5.23,6731.56,0.91,0.96,151.96
WKA,7.2,22.42,0.01,0.59,0.06,0.09,0.06,53.8,113.57,5.15,0.7,0,2.35,708.42,37.92,50.55,238.66,277.65,16197.7,5529,7.84,18333.07,0.96,0.89,320.7
WKA,7.93,10.92,0.01,0.54,0.1,0.11,0.07,44.9,110.25,5.14,0.95,0.09,2.39,649.87,39.05,59.9,254.4,316.34,5167.66,2323,5.66,5221.72,0.86,0.96,159.2
WKA,6.79,240.2,0.02,0.76,0.3,0.12,0.07,49,107.93,5.63,1.12,0.41,3.17,925.99,68.47,155.79,333.35,393.44,12714.97,4210,6.86,13920.46,0.94,0.91,256.88
WKA,8.72,211.25,0.01,0.7,0.18,0.14,0.06,53.2,114.22,5.85,0.78,0.14,2.77,911.47,56.41,70.84,379.88,492.36,6963.91,3056,7.47,6871.85,0.97,0.95,203.44
WKA,8.31,70.25,0.01,0.6,0.15,0.1,0.06,65.7,118.53,5.55,0.86,2.83,2.91,1399.97,19.21,33.21,283.97,317.81,13877.34,4821,7.61,15845.04,0.95,0.9,280.26
WKA,6.27,10.88,0.01,0.57,0.05,0.11,0.05,44.2,106.31,5.26,0.6,0,1.53,1451.93,34.27,46.06,130.37,132.73,5507.86,2325,6.25,5410.44,0.95,0.96,174.73
WKA,7.11,60.83,0.02,0.33,0.08,0.06,0.06,21.8,112.69,5.93,0.31,0.32,2.69,2988.1,57.99,64.64,503.55,650.59,18415.65,6898,9.09,19961.9,0.97,0.87,412.21
WKA,7.86,21.46,0.01,0.19,0.05,0.04,0.05,20.3,116.2,5.38,1.04,0.82,2.22,2155.63,47.11,82.76,450.79,497.09,13095.28,5493,9.63,13983.5,0.99,0.9,360.17
WKA,8.95,37.63,0.02,0.54,0.04,0.11,0.05,33.5,105.7,4.87,0.8,0,1.49,1111.78,37.21,57.6,194.12,209.89,12387.64,4319,6.54,13019.33,0.89,0.92,263.24
WKA,12.03,23.28,0.01,0.68,0.1,0.09,0.07,55.4,110.13,5.24,0.79,0.45,2.66,736.45,75.52,45.86,347.36,411.76,1914.01,668,1.74,2022.06,0.38,0.99,51.68
WKA,7.97,0,0.01,0.78,0.12,0.09,0.05,72,104.87,5.07,0.38,0,1.64,850.47,41.67,78.4,212.7,265.69,16888.68,5942,8.4,18872.9,0.97,0.88,337.46
WKA,6.04,6.73,0.01,0.67,0.12,0.14,0.1,48.2,103.82,4.36,1.13,0,2.07,765.45,31,73.81,203.8,236.74,10300.61,3807,6.43,11191.87,0.91,0.93,243.35
WKC,7.84,18.7,0.09,0.91,0.75,0.08,1.36,10.3,4.36,0.04,0.22,0,0.47,22.02,0.33,1.86,5.97,4.29,20263.84,6674,9.71,22184.14,0.99,0.87,385.12
WKC,6.82,10.93,0.09,0.95,0.75,0.03,1.29,10.3,6.27,0.04,0.1,0,0.19,23.98,0.64,1.54,4.61,3.85,22688.19,7937,10.03,26035.73,0.99,0.84,456.85
WKC,7.9,152.05,0.05,0.52,0.4,0.03,0.78,10.1,5.12,0.04,0.1,0,0.27,25.59,1.77,4.56,9.89,11.07,21463.6,7473,9.82,23927.27,0.99,0.85,427.67
WKC,8.78,101.69,0.07,0.75,0.47,0.02,1.02,10.8,4.78,0.1,0.06,0,0.84,22.07,2.83,1.73,8.55,9.69,21013.56,6925,9.81,23020.84,0.99,0.86,408.19
WKC,8.05,9.91,0.13,2.56,1.14,0.01,1.03,19.3,5.2,0.04,0.1,0,0.9,29.38,0.91,0.73,6.88,7.12,23982.73,8576,10.78,26614.13,1,0.83,480.12
WKC,7.08,6.68,0.1,3.55,2.89,0.01,0.82,37.2,5.24,0.04,0.12,0,0.55,22.85,0.73,8.29,5.4,4.08,22728.66,7935,10.47,24585.02,1,0.85,456.5
WKC,8.14,30.43,0.11,1.25,0.96,0.01,1.28,11,5,0.04,0.15,0,0.16,40.39,1.69,6.31,13.99,16.29,22164.64,7518,10.1,23962.02,0.99,0.85,419.64
WKC,8.12,34.3,0.1,1.06,0.78,0.01,1.31,10.6,5.07,0.04,0.2,0,0.06,27.49,0.85,4.31,6.79,6.97,21073.89,7582,10,23681.32,0.99,0.85,435.39
WKC,6.18,6.49,0.16,2.02,2.17,0.01,0.75,12.8,4.34,0.04,0.19,0,1.16,34.66,2.37,5.5,13.99,16.29,25510.11,9059,11.03,27414.43,1,0.83,503.25
WKC,7.2,7.09,0.13,1.72,0.67,0.01,0.73,12.9,5.29,0.04,0.07,0,0.11,34.15,0.72,2.29,4.87,4.58,24908.48,8974,10.79,27204.33,1,0.83,494.51
WKC,6.23,11.69,0.21,2.67,1.27,0.01,0.93,12.5,4.87,0.04,0.14,0,0,42.76,1.33,4.32,10.36,11.82,23079.75,7967,9.78,25688.23,0.98,0.84,456.07
WKC,7.96,6.11,0.17,1.86,1.45,0.01,0.94,10.9,4.44,0,0.15,0,0,37.19,2.02,0.55,7.5,8.17,25695.47,8863,10.59,27531.16,0.99,0.83,485.88
WKC,8.51,9.75,0.22,2.33,0.96,0.01,0.96,10.6,4.55,0.14,0.2,0,0,37.48,3.35,0.27,10.41,11.05,32755.22,10388,11.18,35218.9,1,0.79,559.62
WKC,8.1,4.91,0.2,2.14,1.36,0.01,0.97,10.7,4.61,0.03,0.16,0,0.55,35.78,0.87,2.34,19.22,6.01,23783.4,8071,9.68,25460.85,0.97,0.84,469.1
WKC,9.07,10.32,0.27,2.91,2.27,0.01,1.01,11,4.82,0.04,0.1,0,0,56.61,1.87,3.52,9.25,10.66,22671.56,8665,10.27,26035.78,0.99,0.83,478.82
WKC,8.58,257.75,0.26,2.92,2.01,0.01,0.99,11.1,5.31,0,0.15,0,0.55,35.76,67.22,4.77,19.22,6.01,18477.95,7977,10.71,20219.94,1,0.86,462.32
WKC,7.77,10.27,0.26,2.9,1.63,0.01,1.03,11.2,4.69,0.04,0.1,0,0,50.87,1.52,3.32,12.33,14.42,30750.99,11098,11.26,37460.25,1,0.77,592.6
WKC,7.08,7.55,0.2,2.03,1.29,0.01,0.97,10,4.01,0.13,0.14,0,0.01,36.32,1.63,0.91,8.51,8.77,30164.5,9713,11.1,31513.44,1,0.81,527.23
WKC,8.43,11.66,0.25,2.91,1.34,0.01,1.02,11.7,4.45,0.04,0.06,0,0.1,49.74,1.87,5.22,13.45,15.98,27661.17,9509,10.63,32720.44,0.99,0.81,515.72
WKC,8.63,8.18,0.18,1.75,1.54,0.01,0.94,10,5.11,0.05,0.07,0,0,34.39,0.59,2.26,6.95,7.86,29920.9,9361,10.75,32332.62,1,0.81,518.42
